acetaldehyde|c	ethanol|c	ADH7 ADH4 ADH1A ZADH2 ADH5 ADHFE1 AKR1A1 CYP2E1 ADH1C ADH1B ADH6
12,15,18,21-tetracosatetraenoyl-CoA|c	13,16,19-docosatrienoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
13,16,19-docosatrienoyl-CoA|c	9-heptadecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
13,16,19-docosatrienoyl-CoA|c	docosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(7Z)-octadecenoyl-CoA|c	13,16,19-docosatrienoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
13,16,19-docosatrienoyl-CoA|c	hexacosenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA|c	13,16,19-docosatrienoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA|c	13,16,19-docosatrienoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
13,16,19-docosatrienoyl-CoA|c	eicosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
13,16,19-docosatrienoyl-CoA|c	pentadecanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA|c	13,16,19-docosatrienoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
13,16,19-docosatrienoyl-CoA|c	cis-vaccenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
13,16,19-docosatrienoyl-CoA|c	heptadecanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(13Z)-docosenoyl-CoA|c	13,16,19-docosatrienoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
13,16,19-docosatrienoyl-CoA|c	lauroyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA|c	13,16,19-docosatrienoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(6Z,9Z)-octadecadienoyl-CoA|c	13,16,19-docosatrienoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
13,16,19-docosatrienoyl-CoA|c	palmitoleoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(9E)-tetradecenoyl-CoA|c	13,16,19-docosatrienoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA|c	13,16,19-docosatrienoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(9E)-octadecenoyl-CoA|c	13,16,19-docosatrienoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(13Z)-eicosenoyl-CoA|c	13,16,19-docosatrienoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA|c	13,16,19-docosatrienoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(11Z)-docosenoyl-CoA|c	13,16,19-docosatrienoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(11Z,14Z)-eicosadienoyl-CoA|c	13,16,19-docosatrienoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(13Z,16Z)-docosadienoyl-CoA|c	13,16,19-docosatrienoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
13,16,19-docosatrienoyl-CoA|c	tetracosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
13,16,19-docosatrienoyl-CoA|c	palmitoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA|c	13,16,19-docosatrienoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
13,16,19-docosatrienoyl-CoA|c	gamma-linolenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(11Z)-eicosenoyl-CoA|c	13,16,19-docosatrienoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA|c	13,16,19-docosatrienoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(11Z,14Z,17Z)-eicosatrienoyl-CoA|c	13,16,19-docosatrienoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
13,16,19-docosatrienoyl-CoA|c	9-eicosenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
10,13,16,19-docosatetraenoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
10,13,16,19-docosatetraenoyl-CoA|c	5-tetradecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	10,13,16,19-docosatetraenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
10,13,16,19-docosatetraenoyl-CoA|c	dihomo-gamma-linolenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
10,13,16,19-docosatetraenoyl-CoA|c	heneicosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
10,13,16,19-docosatetraenoyl-CoA|c	myristoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(8Z,11Z)-eicosadienoyl-CoA|c	10,13,16,19-docosatetraenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA|c	10,13,16,19-docosatetraenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
10,13,16,19-docosatetraenoyl-CoA|c	nonadecanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
10,13,16,19-docosatetraenoyl-CoA|c	arachidonyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
10,13,16,19-docosatetraenoyl-CoA|c	12,15,18,21-tetracosatetraenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
10,13,16,19-docosatetraenoyl-CoA|c	9-heptadecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
10,13,16,19-docosatetraenoyl-CoA|c	docosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(7Z)-octadecenoyl-CoA|c	10,13,16,19-docosatetraenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
10,13,16,19-docosatetraenoyl-CoA|c	hexacosenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA|c	10,13,16,19-docosatetraenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA|c	10,13,16,19-docosatetraenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
10,13,16,19-docosatetraenoyl-CoA|c	eicosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
10,13,16,19-docosatetraenoyl-CoA|c	pentadecanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA|c	10,13,16,19-docosatetraenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
10,13,16,19-docosatetraenoyl-CoA|c	cis-vaccenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
10,13,16,19-docosatetraenoyl-CoA|c	heptadecanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(13Z)-docosenoyl-CoA|c	10,13,16,19-docosatetraenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
10,13,16,19-docosatetraenoyl-CoA|c	lauroyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA|c	10,13,16,19-docosatetraenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(6Z,9Z)-octadecadienoyl-CoA|c	10,13,16,19-docosatetraenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
10,13,16,19-docosatetraenoyl-CoA|c	palmitoleoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(9E)-tetradecenoyl-CoA|c	10,13,16,19-docosatetraenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA|c	10,13,16,19-docosatetraenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(9E)-octadecenoyl-CoA|c	10,13,16,19-docosatetraenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(13Z)-eicosenoyl-CoA|c	10,13,16,19-docosatetraenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA|c	10,13,16,19-docosatetraenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(11Z)-docosenoyl-CoA|c	10,13,16,19-docosatetraenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(11Z,14Z)-eicosadienoyl-CoA|c	10,13,16,19-docosatetraenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(13Z,16Z)-docosadienoyl-CoA|c	10,13,16,19-docosatetraenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
10,13,16,19-docosatetraenoyl-CoA|c	tetracosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
10,13,16,19-docosatetraenoyl-CoA|c	palmitoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA|c	10,13,16,19-docosatetraenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
10,13,16,19-docosatetraenoyl-CoA|c	gamma-linolenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(11Z)-eicosenoyl-CoA|c	10,13,16,19-docosatetraenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA|c	10,13,16,19-docosatetraenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(11Z,14Z,17Z)-eicosatrienoyl-CoA|c	10,13,16,19-docosatetraenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
10,13,16,19-docosatetraenoyl-CoA|c	9-eicosenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
5-tetradecenoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
dihomo-gamma-linolenoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
heneicosanoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
hexacosanoyl-CoA|c	myristoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(8Z,11Z)-eicosadienoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
hexacosanoyl-CoA|c	nonadecanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
arachidonyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
12,15,18,21-tetracosatetraenoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
9-heptadecenoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
docosanoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(7Z)-octadecenoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
hexacosanoyl-CoA|c	hexacosenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
eicosanoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
hexacosanoyl-CoA|c	pentadecanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
cis-vaccenoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
heptadecanoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(13Z)-docosenoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
hexacosanoyl-CoA|c	lauroyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(6Z,9Z)-octadecadienoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
hexacosanoyl-CoA|c	palmitoleoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(9E)-tetradecenoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(9E)-octadecenoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(13Z)-eicosenoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(11Z)-docosenoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(11Z,14Z)-eicosadienoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(13Z,16Z)-docosadienoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
hexacosanoyl-CoA|c	tetracosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
hexacosanoyl-CoA|c	palmitoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
gamma-linolenoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(11Z)-eicosenoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(11Z,14Z,17Z)-eicosatrienoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
9-eicosenoyl-CoA|c	hexacosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	5-tetradecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
5-tetradecenoyl-CoA|c	dihomo-gamma-linolenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
5-tetradecenoyl-CoA|c	heneicosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(8Z,11Z)-eicosadienoyl-CoA|c	5-tetradecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA|c	5-tetradecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
5-tetradecenoyl-CoA|c	nonadecanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
5-tetradecenoyl-CoA|c	arachidonyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
12,15,18,21-tetracosatetraenoyl-CoA|c	5-tetradecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
5-tetradecenoyl-CoA|c	9-heptadecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
5-tetradecenoyl-CoA|c	docosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(7Z)-octadecenoyl-CoA|c	5-tetradecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
5-tetradecenoyl-CoA|c	hexacosenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA|c	5-tetradecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA|c	5-tetradecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
5-tetradecenoyl-CoA|c	eicosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
5-tetradecenoyl-CoA|c	pentadecanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA|c	5-tetradecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
5-tetradecenoyl-CoA|c	cis-vaccenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
5-tetradecenoyl-CoA|c	heptadecanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(13Z)-docosenoyl-CoA|c	5-tetradecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
5-tetradecenoyl-CoA|c	lauroyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA|c	5-tetradecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(6Z,9Z)-octadecadienoyl-CoA|c	5-tetradecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
5-tetradecenoyl-CoA|c	palmitoleoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(9E)-tetradecenoyl-CoA|c	5-tetradecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA|c	5-tetradecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(9E)-octadecenoyl-CoA|c	5-tetradecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(13Z)-eicosenoyl-CoA|c	5-tetradecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA|c	5-tetradecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(11Z)-docosenoyl-CoA|c	5-tetradecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(11Z,14Z)-eicosadienoyl-CoA|c	5-tetradecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(13Z,16Z)-docosadienoyl-CoA|c	5-tetradecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
5-tetradecenoyl-CoA|c	tetracosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
5-tetradecenoyl-CoA|c	palmitoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA|c	5-tetradecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
5-tetradecenoyl-CoA|c	gamma-linolenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(11Z)-eicosenoyl-CoA|c	5-tetradecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA|c	5-tetradecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(11Z,14Z,17Z)-eicosatrienoyl-CoA|c	5-tetradecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
5-tetradecenoyl-CoA|c	9-eicosenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	dihomo-gamma-linolenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	heneicosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	myristoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	(8Z,11Z)-eicosadienoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	nonadecanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	arachidonyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	12,15,18,21-tetracosatetraenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	9-heptadecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	docosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	(7Z)-octadecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	hexacosenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	eicosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	pentadecanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	cis-vaccenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	(13Z)-docosenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	lauroyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	(6Z,9Z,12Z,15Z,18Z)-tetracosapentaenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	(6Z,9Z)-octadecadienoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	palmitoleoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	(9E)-tetradecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	(9E)-octadecenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	(13Z)-eicosenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	(9Z,12Z,15Z,18Z)-tetracosatetraenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	(11Z)-docosenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	(11Z,14Z)-eicosadienoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	(13Z,16Z)-docosadienoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	tetracosanoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	palmitoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	(8Z,11Z,14Z,17Z)-eicosatetraenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	gamma-linolenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	(11Z)-eicosenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	(11Z,14Z,17Z)-eicosatrienoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
(10Z)-heptadecenoyl-CoA|c	9-eicosenoyl-CoA|c	ELOVL4 ELOVL2 ELOVL5 ELOVL6
